"date","new_cases","new_deaths"
"2020-01-31",2,0
"2020-02-01",0,0
"2020-02-02",0,0
"2020-02-03",0,0
"2020-02-04",0,0
"2020-02-05",0,0
"2020-02-06",0,0
"2020-02-07",0,0
"2020-02-08",0,0
"2020-02-09",0,0
"2020-02-10",0,0
"2020-02-11",0,0
"2020-02-12",0,0
"2020-02-13",0,0
"2020-02-14",0,0
"2020-02-15",0,0
"2020-02-16",0,0
"2020-02-17",0,0
"2020-02-18",0,0
"2020-02-19",0,0
"2020-02-20",0,0
"2020-02-21",0,0
"2020-02-22",0,0
"2020-02-23",0,0
"2020-02-24",0,0
"2020-02-25",0,0
"2020-02-26",0,0
"2020-02-27",0,0
"2020-02-28",0,0
"2020-02-29",0,0
"2020-03-01",0,0
"2020-03-02",1,0
"2020-03-03",0,0
"2020-03-04",0,0
"2020-03-05",1,0
"2020-03-06",9,0
"2020-03-07",0,0
"2020-03-08",4,0
"2020-03-09",0,0
"2020-03-10",3,0
"2020-03-11",0,0
"2020-03-12",8,0
"2020-03-13",17,0
"2020-03-14",14,0
"2020-03-15",4,0
"2020-03-16",27,0
"2020-03-17",24,0
"2020-03-18",33,0
"2020-03-19",52,1
"2020-03-20",54,0
"2020-03-21",53,0
"2020-03-22",61,0
"2020-03-23",71,0
"2020-03-24",57,0
"2020-03-25",163,2
"2020-03-26",182,0
"2020-03-27",196,1
"2020-03-28",228,0
"2020-03-29",270,4
"2020-03-30",302,1
"2020-03-31",501,8
"2020-04-01",440,7
"2020-04-02",771,6
"2020-04-03",601,4
"2020-04-04",582,9
"2020-04-05",658,2
"2020-04-06",954,2
"2020-04-07",1154,11
"2020-04-08",1175,5
"2020-04-09",1459,13
"2020-04-10",1786,18
"2020-04-11",1667,12
"2020-04-12",2186,24
"2020-04-13",2558,18
"2020-04-14",2774,22
"2020-04-15",3388,28
"2020-04-16",3448,34
"2020-04-17",4070,41
"2020-04-18",4785,40
"2020-04-19",6060,48
"2020-04-20",4268,44
"2020-04-21",5642,51
"2020-04-22",5236,57
"2020-04-23",4774,42
"2020-04-24",5849,60
"2020-04-25",5966,66
"2020-04-26",6361,66
"2020-04-27",6198,47
"2020-04-28",6411,73
"2020-04-29",5841,105
"2020-04-30",7099,101
"2020-05-01",7933,96
"2020-05-02",9623,53
"2020-05-03",10633,58
"2020-05-04",10581,76
"2020-05-05",10102,95
"2020-05-06",10559,86
"2020-05-07",11231,88
"2020-05-08",10699,98
"2020-05-09",10817,104
"2020-05-10",11012,88
"2020-05-11",11656,94
"2020-05-12",10899,107
"2020-05-13",10028,96
"2020-05-14",9974,93
"2020-05-15",10598,113
"2020-05-16",9200,119
"2020-05-17",9709,94
"2020-05-18",8926,91
"2020-05-19",9263,115
"2020-05-20",8764,135
"2020-05-21",8849,127
"2020-05-22",8894,150
"2020-05-23",9434,139
"2020-05-24",8599,153
"2020-05-25",8946,92
"2020-05-26",8915,174
"2020-05-27",8338,161
"2020-05-28",8371,174
"2020-05-29",8572,232
"2020-05-30",8952,181
"2020-05-31",9268,138
"2020-06-01",8485,156
"2020-06-02",8858,182
"2020-06-03",8529,177
"2020-06-04",8823,168
"2020-06-05",8718,144
"2020-06-06",8846,197
"2020-06-07",8971,134
"2020-06-08",8970,112
"2020-06-09",8587,171
"2020-06-10",8393,216
"2020-06-11",8777,172
"2020-06-12",8961,183
"2020-06-13",8697,114
"2020-06-14",8809,119
"2020-06-15",8217,143
"2020-06-16",8241,193
"2020-06-17",7824,194
"2020-06-18",7772,182
"2020-06-19",7971,181
"2020-06-20",7870,161
"2020-06-21",7717,109
"2020-06-22",7586,95
"2020-06-23",7413,153
"2020-06-24",7165,154
"2020-06-25",7105,91
"2020-06-26",6788,176
"2020-06-27",6843,188
"2020-06-28",6784,102
"2020-06-29",6683,92
"2020-06-30",6683,154
"2020-07-01",6550,215
"2020-07-02",6752,147
"2020-07-03",6710,176
"2020-07-04",6623,167
"2020-07-05",6719,134
"2020-07-06",6569,135
"2020-07-07",6363,198
"2020-07-08",6534,172
"2020-07-09",6491,176
"2020-07-10",6623,174
"2020-07-11",6586,188
"2020-07-12",6587,130
"2020-07-13",6511,104
"2020-07-14",6240,175
"2020-07-15",6410,156
"2020-07-16",6415,167
"2020-07-17",6389,186
"2020-07-18",6214,122
"2020-07-19",6096,95
"2020-07-20",5901,85
"2020-07-21",5828,153
"2020-07-22",5850,165
"2020-07-23",5830,147
"2020-07-24",5779,153
"2020-07-25",5833,146
"2020-07-26",5741,77
"2020-07-27",5607,85
"2020-07-28",5380,149
"2020-07-29",5449,167
"2020-07-30",5484,128
"2020-07-31",5468,161
"2020-08-01",5429,95
"2020-08-02",5387,70
"2020-08-03",5364,79
"2020-08-04",5121,144
"2020-08-05",5186,138
"2020-08-06",5239,114
"2020-08-07",5191,119
"2020-08-08",5185,129
"2020-08-09",5155,76
"2020-08-10",5081,70
"2020-08-11",4892,130
"2020-08-12",5054,128
"2020-08-13",5017,122
"2020-08-14",5016,114
"2020-08-15",5030,118
"2020-08-16",4911,68
"2020-08-17",4839,54
"2020-08-18",4718,129
"2020-08-19",4790,115
"2020-08-20",4767,107
"2020-08-21",4838,90
"2020-08-22",4860,120
"2020-08-23",4797,73
"2020-08-24",4688,65
"2020-08-25",4639,118
"2020-08-26",4642,114
"2020-08-27",4675,120
"2020-08-28",4758,108
"2020-08-29",4843,111
"2020-08-30",4897,68
"2020-08-31",4932,83
"2020-09-01",4670,122
"2020-09-02",4893,115
"2020-09-03",4958,114
"2020-09-04",5064,119
"2020-09-05",5144,109
"2020-09-06",5097,61
"2020-09-07",5106,50
"2020-09-08",5020,121
"2020-09-09",5172,141
"2020-09-10",5310,127
"2020-09-11",5421,102
"2020-09-12",5406,117
"2020-09-13",5361,91
"2020-09-14",5414,56
"2020-09-15",5435,150
"2020-09-16",5612,130
"2020-09-17",5667,143
"2020-09-18",5803,132
"2020-09-19",5960,142
"2020-09-20",6043,79
"2020-09-21",6090,71
"2020-09-22",6109,155
"2020-09-23",6330,145
"2020-09-24",6489,147
"2020-09-25",7112,106
"2020-09-26",7421,167
"2020-09-27",7764,99
"2020-09-28",8026,60
"2020-09-29",8129,157
"2020-09-30",8371,174
"2020-10-01",8835,166
"2020-10-02",9294,185
"2020-10-03",9735,172
"2020-10-04",10376,107
"2020-10-05",10757,115
"2020-10-06",11481,184
"2020-10-07",10981,196
"2020-10-08",11345,184
"2020-10-09",11969,198
"2020-10-10",12673,194
"2020-10-11",13442,140
"2020-10-12",13406,123
"2020-10-13",13690,240
"2020-10-14",14041,235
"2020-10-15",13556,281
"2020-10-16",14937,230
"2020-10-17",14703,277
"2020-10-18",14804,182
"2020-10-19",15843,166
"2020-10-20",16108,268
"2020-10-21",15444,313
"2020-10-22",15704,286
"2020-10-23",17077,281
"2020-10-24",16260,294
"2020-10-25",16392,228
"2020-10-26",17148,217
"2020-10-27",16342,317
"2020-10-28",15886,343
"2020-10-29",17418,359
"2020-10-30",17987,351
"2020-10-31",17834,325
"2020-11-01",18381,239
"2020-11-02",18017,238
"2020-11-03",18431,347
"2020-11-04",19483,385
"2020-11-05",19116,289
"2020-11-06",20368,369
"2020-11-07",20109,356
"2020-11-08",20248,282
"2020-11-09",21577,254
"2020-11-10",20765,353
"2020-11-11",19583,427
"2020-11-12",21333,429
"2020-11-13",21717,401
"2020-11-14",22441,380
"2020-11-15",22313,349
"2020-11-16",22562,299
"2020-11-17",22201,435
"2020-11-18",20717,449
"2020-11-19",23337,457
"2020-11-20",24059,455
"2020-11-21",24538,462
"2020-11-22",24295,396
"2020-11-23",24891,354
"2020-11-24",24087,483
"2020-11-25",23393,498
"2020-11-26",25195,515
"2020-11-27",27267,487
"2020-11-28",26809,501
"2020-11-29",26390,451
"2020-11-30",26046,364
