,station_id,bikes_available,docks_available,time
0,2,2,25,2013/08/29 12:06:01
58,2,3,24,2013/08/29 13:11:01
286,2,4,23,2013/08/29 17:20:01
460,2,1,26,2013/08/29 20:38:01
1510,2,5,22,2013/08/30 16:11:03
1511,2,8,19,2013/08/30 16:12:01
1513,2,9,18,2013/08/30 16:15:01
1514,2,10,17,2013/08/30 16:16:01
1538,2,11,16,2013/08/30 16:43:01
2485,2,13,14,2013/08/31 10:15:01
2573,2,15,12,2013/08/31 11:51:01
2667,2,14,13,2013/08/31 13:30:01
3029,2,12,15,2013/08/31 19:59:02
3967,2,7,20,2013/09/01 13:13:01
4051,2,6,21,2013/09/01 14:48:01
8036,2,16,11,2013/09/04 17:57:03
8208,2,17,10,2013/09/04 21:00:01
10622,2,19,8,2013/09/06 17:40:01
10650,2,18,9,2013/09/06 18:09:01
10666,2,20,7,2013/09/06 18:25:01
10816,2,21,6,2013/09/06 21:16:01
20737,2,22,5,2013/09/14 09:51:02
63688,2,23,4,2013/10/14 18:20:01
68552,2,18,8,2013/10/18 07:59:02
68557,2,17,9,2013/10/18 08:04:01
68568,2,15,11,2013/10/18 08:15:01
68582,2,13,13,2013/10/18 08:29:02
68607,2,12,14,2013/10/18 08:54:01
68752,2,11,15,2013/10/18 11:19:02
68753,2,10,16,2013/10/18 11:20:02
68843,2,9,17,2013/10/18 12:50:02
69006,2,8,18,2013/10/18 15:33:02
70112,2,14,12,2013/10/19 10:00:03
91002,2,0,27,2013/11/03 02:00:01
107680,2,4,22,2013/11/14 16:09:02
107682,2,5,21,2013/11/14 16:11:01
107685,2,6,20,2013/11/14 16:14:03
107686,2,7,19,2013/11/14 16:15:02
159790,2,3,23,2013/12/20 20:50:02
159791,2,2,24,2013/12/20 20:51:02
185336,2,24,3,2014/01/07 17:43:03
204927,2,16,10,2014/01/21 08:15:02
219369,2,6,18,2014/01/31 09:36:02
219370,2,6,17,2014/01/31 09:37:02
219373,2,9,16,2014/01/31 09:40:03
260491,3,8,7,2013/08/29 12:06:01
260535,3,9,6,2013/08/29 12:56:01
260736,3,10,5,2013/08/29 16:38:02
261030,3,6,9,2013/08/29 22:07:01
261031,3,5,10,2013/08/29 22:08:01
261051,3,4,11,2013/08/29 22:34:01
261053,3,3,12,2013/08/29 22:36:02
261836,3,7,8,2013/08/30 13:15:01
264500,3,12,3,2013/09/01 13:59:01
265972,3,11,4,2013/09/02 17:47:01
272258,3,13,2,2013/09/07 15:05:01
272259,3,15,0,2013/09/07 15:06:01
314678,3,1,14,2013/10/08 01:56:01
314680,3,0,15,2013/10/08 01:58:02
315045,3,2,13,2013/10/08 08:04:01
380789,3,6,8,2013/11/23 10:29:03
442818,3,14,1,2014/01/05 15:35:03
486059,3,5,9,2014/02/04 17:01:02
486140,3,7,7,2014/02/04 18:22:02
486498,3,8,6,2014/02/05 00:20:01
520981,4,0,11,2013/08/29 12:06:01
521039,4,2,9,2013/08/29 13:11:01
521040,4,4,7,2013/08/29 13:12:01
521042,4,5,6,2013/08/29 13:15:01
521052,4,6,5,2013/08/29 13:26:01
521273,4,3,8,2013/08/29 17:27:01
527334,4,7,4,2013/09/03 10:15:01
528500,4,9,2,2013/09/04 08:25:01
528742,4,10,1,2013/09/04 12:57:01
528744,4,11,0,2013/09/04 12:59:03
528845,4,8,3,2013/09/04 14:51:01
529018,4,1,10,2013/09/04 17:58:01
669132,4,4,6,2013/12/12 18:51:02
670005,4,2,7,2013/12/13 09:25:02
670006,4,4,5,2013/12/13 09:26:03
670283,4,5,4,2013/12/13 14:03:02
670780,4,6,3,2013/12/13 22:20:02
673146,4,3,6,2013/12/15 13:46:02
674457,4,7,2,2013/12/16 11:37:03
674763,4,1,8,2013/12/16 16:43:02
737406,4,3,7,2014/01/29 08:33:02
737425,4,2,8,2014/01/29 08:52:03
737427,4,0,8,2014/01/29 08:54:03
737464,4,0,9,2014/01/29 09:31:02
738874,4,5,5,2014/01/30 09:01:02
747486,4,6,4,2014/02/05 08:38:02
747489,4,7,3,2014/02/05 08:41:02
781471,5,10,9,2013/08/29 12:06:01
781507,5,9,10,2013/08/29 12:47:01
781724,5,8,11,2013/08/29 16:46:01
782768,5,7,12,2013/08/30 12:22:01
782832,5,6,13,2013/08/30 13:31:02
801000,5,5,14,2013/09/13 13:03:01
810922,5,11,8,2013/09/20 12:52:01
824748,5,12,7,2013/09/30 10:11:01
826130,5,13,6,2013/10/01 09:35:01
833314,5,14,5,2013/10/06 10:30:01
858824,5,4,15,2013/10/24 10:58:01
858825,5,3,16,2013/10/24 10:59:01
858826,5,1,18,2013/10/24 11:00:02
858827,5,0,19,2013/10/24 11:01:01
859187,5,15,3,2013/10/24 17:01:01
859188,5,17,2,2013/10/24 17:02:02
859192,5,16,3,2013/10/24 17:06:01
859193,5,15,4,2013/10/24 17:07:02
919475,5,8,10,2013/12/05 17:44:03
919476,5,9,9,2013/12/05 17:45:02
919477,5,10,8,2013/12/05 17:46:03
1041961,6,1,14,2013/08/29 12:06:01
1041975,6,3,12,2013/08/29 12:22:01
1041976,6,4,11,2013/08/29 12:23:01
1042151,6,2,13,2013/08/29 15:38:01
1042388,6,5,10,2013/08/29 19:57:01
